URL,Restaurant name,Rating,Total ratings,Type of restaurant,location,Opening Hours,Closing  Hours,Image URL,dining service,Dining service2,Delivery service
https://www.google.com/maps/place/Marwadi+Restaurant/data=!4m7!3m6!1s0x3995951bed3e5385:0x703ba66c73199d3d!8m2!3d28.2064796!4d83.9597576!16s%2Fg%2F11c1qcn3z5!19sChIJhVM-7RuVlTkRPZ0Zc2ymO3A?authuser=0&hl=en&rclk=1,Marwadi Restaurant,3.6,473,Restaurant,Ward no 6, Opens 8AM,Closes 11PM,https://lh5.googleusercontent.com/p/AF1QipOmSn3HH5FQr27WZpCbEuH5MgETaaluMeG6wCXe=w80-h106-k-no,Dine-in,Takeaway,Delivery
https://www.google.com/maps/place/Sweet+Memories+Restaurant/data=!4m7!3m6!1s0x3995957af28ee20d:0xc7b6fb801d6e3525!8m2!3d28.2137709!4d83.957412!16s%2Fg%2F11j4n6ptq2!19sChIJDeKO8nqVlTkRJTVuHYD7tsc?authuser=0&hl=en&rclk=1,Sweet Memories Restaurant,4.8,211,Restaurant,Lake horizon mall, Opens 8AM,Closes 9:30PM,https://lh5.googleusercontent.com/p/AF1QipOXCRVAZmRptJpA3cRwiZaVsywEqpo9fmHEqKzg=w80-h175-k-no,Dine-in,Takeaway,Delivery
https://www.google.com/maps/place/Onion+Restro+%26+Cafe/data=!4m7!3m6!1s0x399595ae20060fd3:0x2a4b981f283ce2b5!8m2!3d28.212316!4d83.962516!16s%2Fg%2F11f5tbn9cl!19sChIJ0w8GIK6VlTkRteI8KB-YSyo?authuser=0&hl=en&rclk=1,Onion Restro & Cafe,4.3,18,Restaurant,6X67+W2C, Opens 8AM,Closes 11PM,https://lh5.googleusercontent.com/p/AF1QipPAJerUUcZQEWm7iVgeGWdnegg3v8PjXMjpNG6u=w122-h92-k-no,Dine-in,Takeaway,Delivery
https://www.google.com/maps/place/Madhushala+Restaurant+Lounge+%26+Bar/data=!4m7!3m6!1s0x3995951e407de9f3:0xf86ccc5d4b11e155!8m2!3d28.21136!4d83.9570451!16s%2Fg%2F11by__8rz4!19sChIJ8-l9QB6VlTkRVeERS13MbPg?authuser=0&hl=en&rclk=1,Madhushala Restaurant Lounge & Bar,4.4,111,Restaurant,6X64+GRV, Opens 8AM,Closes 11PM,https://lh5.googleusercontent.com/p/AF1QipPbI9UrH8stTKFI-kBJgKmMmEjS9DpSc1kCqg6t=w122-h92-k-no,Dine-in,Takeaway,Delivery
https://www.google.com/maps/place/Deepshikha+Restaurant/data=!4m7!3m6!1s0x39959504bd8bfeb1:0x81179d9239a0604f!8m2!3d28.2065362!4d83.9650875!16s%2Fg%2F11hb39cnx1!19sChIJsf6LvQSVlTkRT2CgOZKdF4E?authuser=0&hl=en&rclk=1,Deepshikha Restaurant,4.9,15,Restaurant,6X48+J28, Opens 8AM,Closes 10PM,https://lh5.googleusercontent.com/p/AF1QipPFRODO1RTlUBgMV6_IgGpOJcBjSIrk7R_Ndzzb=w163-h92-k-no,Dine-in,Takeaway,Delivery
https://www.google.com/maps/place/You+And+Me+Cafe+and+Restaurant/data=!4m7!3m6!1s0x39959516d79828df:0x8720c9d23d9a73c1!8m2!3d28.207595!4d83.9659772!16s%2Fg%2F11qnkt1tjx!19sChIJ3yiY1xaVlTkRwXOaPdLJIIc?authuser=0&hl=en&rclk=1,You And Me Cafe and Restaurant,4.8,82,Restaurant,Thado Pasal Path, Opens 8AM,Closes 9:30PM,https://lh5.googleusercontent.com/p/AF1QipMRGaICErO8DRrBcAjpErSwiweER7LXJja92FMQ=w122-h92-k-no,Dine-in,Drive-through,No-contact delivery
https://www.google.com/maps/place/Al+Hakeem+Halal+Restaurant/data=!4m7!3m6!1s0x3995944fcb4ede05:0x5d510ace8865ff21!8m2!3d28.2230625!4d83.9863125!16s%2Fg%2F11h9y5mc99!19sChIJBd5Oy0-UlTkRIf9liM4KUV0?authuser=0&hl=en&rclk=1,Al Hakeem Halal Restaurant,4.1,61,Restaurant,, Opens 8AM,Closes 8PM,https://lh5.googleusercontent.com/p/AF1QipMGTFe2OEM8NPC6rMoA9iPFT3uybgbEzpezN1ZU=w163-h92-k-no,Dine-in,Takeaway,Delivery
https://www.google.com/maps/place/Newari+Bhoj/data=!4m7!3m6!1s0x399595ad65fa9193:0x3b3f6dd206bf1509!8m2!3d28.2124817!4d83.984119!16s%2Fg%2F11hbr8mx_y!19sChIJk5H6Za2VlTkRCRW_BtJtPzs?authuser=0&hl=en&rclk=1,Newari Bhoj,3.9,353,Restaurant,New Rd, Opens 8AM,Closes 10PM,https://lh5.googleusercontent.com/p/AF1QipNekAVREGfdQDaWSbbI5yZgq3hyLEWPHhHyTDMW=w122-h92-k-no,Dine-in,Takeaway,Delivery
https://www.google.com/maps/place/Flamingo+Restaurant/data=!4m7!3m6!1s0x399595337cb2e6c7:0x7262ebc35110f3bc!8m2!3d28.2101167!4d83.9560003!16s%2Fg%2F11rhxl5wv6!19sChIJx-ayfDOVlTkRvPMQUcPrYnI?authuser=0&hl=en&rclk=1,Flamingo Restaurant,4.1,23,Restaurant,"Fewa margarita, Lakeside Rd", Opens 8AM,Closes 10PM,https://lh5.googleusercontent.com/p/AF1QipP9hlvQtRC2V2kCyQgRYRFjTtZwxQaoG6tpovBJ=w122-h92-k-no,Dine-in,Kerbside pickup,Delivery
https://www.google.com/maps/place/KFC+Pokhara/data=!4m7!3m6!1s0x3995951e5c590ec1:0x9ecc41d6eb1cab36!8m2!3d28.2106074!4d83.9569743!16s%2Fg%2F11g7z4v9kl!19sChIJwQ5ZXB6VlTkRNqsc69ZBzJ4?authuser=0&hl=en&rclk=1,KFC Pokhara,4,"1,363",Fast Food,Lakeside Rd, Opens 8AM,Closes 10PM,https://lh5.googleusercontent.com/p/AF1QipOdFjtNEJOu0awqd45LF2NmPPC52VRaYUpwEn7N=w163-h92-k-no,Dine-in,Takeaway,No-contact delivery
"https://www.google.com/maps/place/Bhojan+Unlimited+Restaurant+and+Bar,+Bulaudi,+Pokhara/data=!4m7!3m6!1s0x399595d8855136cd:0x5769d1987a16dc13!8m2!3d28.2137028!4d83.9679641!16s%2Fg%2F11s2hwv0vq!19sChIJzTZRhdiVlTkRE9wWepjRaVc?authuser=0&hl=en&rclk=1","Bhojan Unlimited Restaurant and Bar, Bulaudi, Pokhara",5,9,Indian,"Bulaudi 7, Nwarthok, On the banks of river", Opens 8AM,Closes 11PM,https://maps.gstatic.com/tactile/pane/result-no-thumbnail-1x.png,Dine-in,Kerbside pickup,No-contact delivery
https://www.google.com/maps/place/Bibek+Restaurant/data=!4m7!3m6!1s0x3995958198404f6f:0x55bdf34d9d768b16!8m2!3d28.21919!4d83.9582152!16s%2Fg%2F11fp93kjj8!19sChIJb09AmIGVlTkRFot2nU3zvVU?authuser=0&hl=en&rclk=1,Bibek Restaurant,4,1,Restaurant,Baidam Rd, Opens 8AM,Closes 11PM,https://lh5.googleusercontent.com/p/AF1QipMGhM0x98dXHewcBB1OxCc6MIbLzD2Cl10xLJDX=w163-h92-k-no,Dine-in,Takeaway,No-contact delivery
