URL,Title,Rating,Total ratings,Type of restaurant,location,Opening Hours,Closing Hours,Image URL,dining service,Dining service2,Delivery service
https://www.google.com/maps/place/Utsav+Nepali+Restaurant/data=!4m7!3m6!1s0x39eb19046e04adab:0x8baae9f93b25cf58!8m2!3d27.7127656!4d85.3199!16s%2Fg%2F1v41ywbt!19sChIJq60EbgQZ6zkRWM8lO_npqos?authuser=0&hl=en&rclk=1,Utsav Nepali Restaurant,3.8,248,Traditional restaurant,Lal Durbar Marg, Opens 6:30AM, Closes 10PM,https://lh5.googleusercontent.com/p/AF1QipMT0As3ypfiXKzYMj9ScgCAO4VBoUFAkFkRtYNd=w122-h92-k-no,Dine-in,Takeaway,No-contact delivery
https://www.google.com/maps/place/Eco+Garden+Restaurant/data=!4m7!3m6!1s0x39eb19d787573cf3:0x9d918402b27c79bf!8m2!3d27.7132328!4d85.311424!16s%2Fg%2F11fjbkl1nr!19sChIJ8zxXh9cZ6zkRv3l8sgKEkZ0?authuser=0&hl=en&rclk=1,Eco Garden Restaurant,4.7,13,Organic,"P876+7HV, Chibahal Club", Opens 10AM, Closes 10PM,https://lh5.googleusercontent.com/p/AF1QipOOw29uvWtbTgYnnt9M4HF5sacs0IzsoCMS1K3b=w80-h164-k-no,Dine-in,Takeaway,No-contact delivery
https://www.google.com/maps/place/Royal+Kathmandu+Restaurant/data=!4m7!3m6!1s0x39eb199940b4ac67:0x374e2c660c150e37!8m2!3d27.6992051!4d85.3381429!16s%2Fg%2F11f126hsv3!19sChIJZ6y0QJkZ6zkRNw4VDGYsTjc?authuser=0&hl=en&rclk=1,Royal Kathmandu Restaurant,3.4,5,Restaurant,"M8XQ+M7J, mid baneshwer ktm cafe &Family Restaurant", Opens 8AM, Closes 7PM,https://lh5.googleusercontent.com/p/AF1QipNxEsYjV3zGgjDmetMV5kZ5j5eShQ75W7hjMlud=w80-h106-k-no,Dine-in,Takeaway,No-contact delivery
https://www.google.com/maps/place/Guchha+Garden+Restaurant/data=!4m7!3m6!1s0x39eb192c021373bd:0xa899142f232fb1e4!8m2!3d27.7155991!4d85.3036958!16s%2Fg%2F11fmzsysbs!19sChIJvXMTAiwZ6zkR5LEvIy8Umag?authuser=0&hl=en&rclk=1,Guchha Garden Restaurant,3.9,118,Rice restaurant,"P883+6FP, Swayambhu Marg", Opens 6AM, Closes 10PM,https://lh5.googleusercontent.com/p/AF1QipPo4wgm4ZdeBXeJhnMWqXplTzvAnZ36fUprQFei=w122-h92-k-no,Dine-in,Takeaway,Delivery
https://www.google.com/maps/place/Fire+And+Ice+Pizzeria/data=!4m7!3m6!1s0x39eb18fd806bd269:0x1f70182b9aa3b989!8m2!3d27.7137798!4d85.3135074!16s%2Fg%2F1v1vbm0l!19sChIJadJrgP0Y6zkRibmjmisYcB8?authuser=0&hl=en&rclk=1,Fire And Ice Pizzeria,4.3,"3,788",Pizza,, Opens 8AM, Closes 10PM,https://lh5.googleusercontent.com/p/AF1QipPdKaGD23ti_lIlprChVbyhJs4o65H032LekUo5=w80-h106-k-no,Dine-in,Takeaway,No-contact delivery
https://www.google.com/maps/place/Zam+Zam+Halal+Restaurant/data=!4m7!3m6!1s0x39eb191d1e9a90d1:0x818fdda9a92930e0!8m2!3d27.7055222!4d85.3171293!16s%2Fg%2F11j6l4j303!19sChIJ0ZCaHh0Z6zkR4DApqandj4E?authuser=0&hl=en&rclk=1,Zam Zam Halal Restaurant,5,3,Indian Muslim restaurant,P848+6V2, Opens 9AM, Closes 9PM,https://lh5.googleusercontent.com/p/AF1QipM9zCLEYjQBW7DJ_rOkG_ZQzRLILughN-4OBsaz=w138-h92-k-no,Dine-in,Takeaway,No-contact delivery
https://www.google.com/maps/place/Danfe+Nepali+Kitchen/data=!4m7!3m6!1s0x39eb185638a72d3d:0x886dbb1032c9d504!8m2!3d27.7035274!4d85.3068057!16s%2Fg%2F11f53pvtrn!19sChIJPS2nOFYY6zkRBNXJMhC7bYg?authuser=0&hl=en&rclk=1,Danfe Nepali Kitchen,5,1,Rice restaurant,"P834+CP7, Thamel Clouse to, Fathcat, Freak St", Opens 10AM,Closes 9PM,https://lh5.googleusercontent.com/p/AF1QipNCl2LEDFarSxqsW7duTtPXvVuey4qVtoOH0rcj=w122-h92-k-no,Dine-in,Takeaway,Delivery
https://www.google.com/maps/place/Trisara/data=!4m7!3m6!1s0x39eb191c82184e21:0xae1306c6b5f7cae7!8m2!3d27.7197113!4d85.3191604!16s%2Fg%2F1hd_sm0qf!19sChIJIU4YghwZ6zkR58r3tcYGE64?authuser=0&hl=en&rclk=1,Trisara,4,"2,487",Restaurant,Lazimpat Rd, Opens 8:30AM, Closes 11PM,https://lh5.googleusercontent.com/p/AF1QipM_wTpki32My7VwOgMXDnNN-j0oU9uc9ydnBKKZ=w122-h92-k-no,Dine-in,Takeaway,Delivery
https://www.google.com/maps/place/Lohsha+Ghasha+Restaurant/data=!4m7!3m6!1s0x39eb18fe733daff5:0x9c42594a58a3e06b!8m2!3d27.7105768!4d85.3123022!16s%2Fg%2F11g8g3s2t4!19sChIJ9a89c_4Y6zkRa-CjWEpZQpw?authuser=0&hl=en&rclk=1,Lohsha Ghasha Restaurant,4.3,150,Traditional restaurant,Jyatha Marg, Opens 8AM, Closes 10PM,https://lh5.googleusercontent.com/p/AF1QipPqdbVOn0F20BhsPbuN3UV-yVI-1RNe-pBz0msn=w80-h106-k-no,Dine-in,Takeaway,Delivery
https://www.google.com/maps/place/Yog+Rooftop+Garden+Restaurant+%26+Bar/data=!4m7!3m6!1s0x39eb196bd06ad379:0x8c742a026c44e2fd!8m2!3d27.7170214!4d85.307445!16s%2Fg%2F11fn25_nlv!19sChIJedNq0GsZ6zkR_eJEbAIqdIw?authuser=0&hl=en&rclk=1,Yog Rooftop Garden Restaurant & Bar,4.5,141,Restaurant,Kaldhara Marg,Opens 8AM, Closes 11:30PM,https://lh5.googleusercontent.com/p/AF1QipMkV56CfaTcHA9cZmPAUvvUbEZCMZrv9Ez2UgE8=w163-h92-k-no,Dine-in,Drive-through,No-contact delivery
